iter	Passed	Remaining
0	5	5612
1	10	5187
2	14	4972
3	19	4830
4	23	4744
5	28	4727
6	33	4784
7	38	4751
8	43	4738
9	47	4717
10	52	4697
11	57	4697
12	61	4691
13	66	4665
14	70	4646
15	75	4632
16	79	4602
17	83	4580
18	88	4587
19	93	4578
20	97	4562
21	102	4546
22	106	4528
23	110	4512
24	115	4495
25	120	4529
26	126	4555
27	131	4562
28	136	4557
29	140	4555
30	145	4540
31	149	4534
32	154	4520
33	159	4526
34	164	4531
35	168	4519
36	173	4512
37	177	4503
38	182	4494
39	187	4500
40	193	4514
41	198	4527
42	203	4534
43	209	4541
44	213	4532
45	218	4521
46	222	4514
47	228	4522
48	232	4521
49	237	4512
50	241	4501
51	246	4489
52	251	4490
53	256	4490
54	261	4489
55	265	4476
56	270	4482
57	276	4485
58	280	4475
59	284	4464
60	290	4468
61	295	4466
62	299	4457
63	304	4453
64	309	4457
65	314	4455
66	319	4451
67	324	4449
68	329	4448
69	334	4447
70	339	4439
71	344	4438
72	348	4429
73	353	4420
74	358	4420
75	363	4418
76	367	4410
77	373	4409
78	377	4401
79	382	4394
80	386	4389
81	392	4389
82	397	4386
83	401	4382
84	406	4374
85	411	4371
86	416	4373
87	421	4372
88	426	4365
89	431	4362
90	436	4361
91	441	4355
92	446	4354
93	451	4348
94	456	4350
95	461	4350
96	467	4354
97	473	4354
98	477	4349
99	483	4353
100	489	4359
101	494	4353
102	500	4355
103	506	4361
104	510	4354
105	515	4351
106	521	4353
107	526	4351
108	532	4355
109	539	4361
110	543	4355
111	549	4355
112	555	4361
113	560	4357
114	567	4365
115	573	4367
116	577	4360
117	584	4370
118	589	4363
119	594	4357
120	600	4365
121	606	4364
122	611	4359
123	618	4368
124	623	4365
125	629	4363
126	635	4368
127	640	4363
128	645	4361
129	651	4362
130	656	4357
131	662	4354
132	668	4357
133	673	4355
134	679	4352
135	684	4346
136	689	4342
137	694	4336
138	700	4336
139	705	4334
140	710	4328
141	716	4331
142	722	4331
143	727	4327
144	734	4329
145	739	4326
146	744	4322
147	750	4322
148	758	4332
149	765	4336
150	770	4333
151	776	4332
152	781	4323
153	785	4313
154	790	4307
155	795	4303
156	800	4297
157	806	4298
158	812	4299
159	818	4295
160	823	4293
161	829	4291
162	834	4286
163	840	4285
164	846	4283
165	851	4279
166	857	4275
167	862	4273
168	868	4270
169	874	4269
170	880	4268
171	885	4264
172	891	4260
173	896	4257
174	902	4253
175	907	4247
176	912	4241
177	918	4239
178	923	4234
179	929	4232
180	933	4226
181	939	4220
182	943	4213
183	948	4206
184	953	4199
185	958	4194
186	963	4189
187	970	4191
188	976	4189
189	982	4188
190	988	4187
191	993	4179
192	999	4179
193	1005	4176
194	1010	4171
195	1016	4168
196	1021	4163
197	1026	4156
198	1031	4152
199	1038	4152
200	1043	4147
201	1050	4150
202	1056	4149
203	1061	4143
204	1068	4143
205	1073	4138
206	1079	4135
207	1085	4134
208	1090	4128
209	1095	4122
210	1102	4121
211	1107	4114
212	1112	4111
213	1118	4109
214	1123	4103
215	1129	4098
216	1135	4096
217	1139	4089
218	1144	4082
219	1151	4081
220	1155	4074
221	1160	4067
222	1166	4065
223	1171	4058
224	1176	4052
225	1183	4051
226	1187	4044
227	1192	4038
228	1198	4036
229	1203	4029
230	1208	4022
231	1214	4021
232	1219	4015
233	1224	4008
